Review,Title,Date
"No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.
",boAt Rockerz 255,2024-12-28
"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks.
",boAt Rockerz 255,2024-12-22
"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear.
",boAt Rockerz 255,2024-12-27
"Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
",boAt Rockerz 255,2024-12-20
"Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...
",boAt Rockerz 255,2024-12-29
"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one.
",boAt Rockerz 255,2024-12-23
"Sound-4.5/5Build quality-4.5/5Battery life -4/5Earphones quality is good with strong magnetic lock... Straps is good quality and the earphones wires are too good... Buttons quality is good.. sound is full of punchy bass and and balanced treble and has sorrund effect.. good fitting in ears.. hope connectivity is good.. bcz my last boat Bluetooth bassheads 225 had connection issues... This is worth its price... Hope the packaging was good ...there was no bubble wrapping..
",boAt Rockerz 255,2024-12-26
"After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud
",boAt Rockerz 255,2024-12-28
"I can’t get enough of this earphone! The bass is amazing and is perfect for a music lover. The battery life is good enough to keep me going all day. The fact that I can connect my laptop and phone at the same time and switch between them makes the experience so much better. I use my earphones a lot for voice calls and this doesn’t let me down at all.  This is a must buy for all music lovers.
",boAt Rockerz 255,2024-12-21
"The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty
",boAt Rockerz 255,2024-12-21
"The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in.
",boAt Rockerz 255,2024-12-23
"What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
",boAt Rockerz 255,2024-12-20
"Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro.
",boAt Rockerz 255,2024-12-24
"Product stopped working in a month time
",boAt Rockerz 255,2024-12-28
"Right speaker is not working at all. Useless product.Big disappointment.
",boAt Rockerz 255,2024-12-26
"Received this BoAt 255 earphones yesterday evening.Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.Connectivity is quick. Detects and connects easily.Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.Earphone wire could be bit long. But that's fine for me. Not sure about others.Didn't get chance to charge so not sure about the time to full charge.One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.But overall performance was nice. Good experience.
",boAt Rockerz 255,2024-12-22
"This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok
",boAt Rockerz 255,2024-12-23
"The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.Sound quality 4/5)- pretty good with good amount of bass.Durability (4/5)- the material seems durable and the earphones are light weightBattery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small rangeCall quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted.
",boAt Rockerz 255,2024-12-23
"Below average product. Not happy at all.Pros : good sound qualityCons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.Battery life is just ok. Once give a low battery alarm, dies within 2 minLittle heavy on earsNo return possible
",boAt Rockerz 255,2024-12-23
"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality.
",boAt Rockerz 255,2024-12-25
"Its a cheap chinese product. No bass at all. Volume is slow even on high sound.
",Flybot Wave,2024-12-25
"SOUND QUALITY of flybot wave wireless earphones is good,but very good when the earphone CONNECTIVITY is also good, in middle of playing songs automatically song is intermittently music play, disconnected and also connected but why disconnected ,(I connected and using the Bluetooth in between 10 metre,and also Company written this In box Bluetooth transmission  range is 10 metre, so why disconnected, I will show this in photo)  , stopped ,and also fitting is very poor (I do jumping jacks ,dance, I adjusted the earphones everytime also  when I am running because earphones is not perfectly fitting I also change buds but nothing happens same problem produced) and also in one pair buds , one bud is small and other one is big I will show by clicking photo, COMFORT soft and lite in weight  but main problem is poor fitting,and CONNECTIVITY.
",Flybot Wave,2024-12-29
"It's China product.
",Flybot Wave,2024-12-30
"Its an awesome purchase but the mike doesn't quite cancel the surrounding noise that well...The other person on the call just hears too much for your liking as well as while playing music the bass isn't that great..but good enough at this pricing.
",Flybot Wave,2024-12-25
"When put to full volume..sound wasn’t clear enough and it was a bit of screeching sound that came along..indeed it was on the day i got the product delivered..not so good
",Flybot Wave,2024-12-21
"Sound quality not good....connectivity problm....not comfortable
",Flybot Wave,2024-12-30
"Worst Product
",Flybot Wave,2024-12-23
"This is a great quality product. Sound is perfect. Too good to use. Bass is perfect. Must buy this in this low price. Too good to use. Standard one.Fabulous
",Flybot Wave,2024-12-28
"Nice product.Sound quality betterBluetooth connectivity goodBest comfortable when we headed phone.Don't worry purchase it as soon as possible
",Flybot Wave,2024-12-30
"I got it in 799 in this range it is very good product.....sond quality clear,calling quality too clear,battery back up up to the level....over all its fantastic in this price range...you can go for it...
",Flybot Wave,2024-12-21
"This product is very lightweight and very good. It's an Amazing product. I will recommend this product to everyone to buy.
",Flybot Wave,2024-12-27
"Overall good product at this priceWith good build quality and sound qualityU cannot expect more then this..Thankyou.
",Flybot Wave,2024-12-30
"I was searching for this typ of wireless earp. Since long time.. my main purpose was call clearity and i am a gamer so for pubg also.this earphone is superbhh in this price segment .. very comfortable . Great audio and connectivity experience.. without any sound lag on game or call.. i m very happy. u should try once.. only fear is how long it will work coz it is a new product in market so i m little bit afraid well lets see.. overall u can go for it without fear
",Flybot Wave,2024-12-22
"First thing first, there is no bass at all only shrill treble. Bluetooth connectivity breaks down beyond 3 meters while it's falsely claimed that it has a range of10 meters. Absolutely no proof of them supporting bluetooth version 5 as claimed on the website . Chinese product with a lot of exaggerated claims.Last but not the least, the headphones have a very poor in ear grip and keep falling out despite the extended over the ear additional support. Changing the earbuds also doesn't help solve the problem.Returned them for them being very ordinary headpu that couldn't provide any real listening pleasure.
",Flybot Wave,2024-12-21
"It is one word say to Amezing best experience sound quality very good and perfect ear fitIt's budget Bluetooth earphones price is very good
",Flybot Wave,2024-12-29
"Value for money
",Flybot Wave,2024-12-24
"It's worth buying flybot.its sound quality is superb.i highly recommend it.go for it.
",Flybot Wave,2024-12-29
"It is very good quality headphone and has a sharp noise
",Flybot Wave,2024-12-22
"Do NOT buy this product, even with nice discounts offered. I got cheated out of 800 rupees. For one, the bluetooth earphone is extremely defected. After a couple of weeks, my phone kept repeating ""Volume maximum"" despite it not being so and the earphone was causing disruption on my phone, unable to play properly. Now, it charges but has simply stopped working altogether. Don't waste your money on this product.
",Flybot Wave,2024-12-29
"Sound quality is nearly good , Not for Bass lovers.Yeah it's sporty earphone.Battery life is nearly good, Overall good Bluetooth Budget Earphone.
",Flybot Wave,2024-12-27
"The earphones are of good quality, was looking for earphones in budget, have tried boult space but these are much better, the bass as per the name is perfect, the vocals are also clear and overall the sound is pretty good compared to 'boult space' in which you hear only bass and no vocals. The only thing which i didn't liked was the distortion at full volume but that much volume is not safe for human ear, For better experience keep the volume at 75%.The ratings are below :-Bass - 4.5/5Vocals - 4.5/5Fit - 5/5Bluetooth range - 4.5/5Battery - 4/5
",Flybot Boom,2024-12-28
"Really disappointed.1. There is no deep bass effect as mentioned2. And there is delay in voice and the video timing, which is really very annoying.3. Built quality is ok ok.4. Sound quality is not so great.But could have been better for the price.I was fooled by the positive reviewsHope my review will help many other..
",Flybot Boom,2024-12-23
"Pros. Good and comfortable  fit , eliminates noise well  Excellent delivery speed,Cons.  Average sound quality , poor mids and highs
",Flybot Boom,2024-12-26
"The sound quality is nice at this rate..... But problem is with the battery..... In half n hour it came down from 50% to 20% and at 20% started saying that the battery is down and within one minute the the headphones got switched off which is extremely poor performance by the battery moreover the only indicator is when the battery is charging that from red colour it turns into blue colour but it does not auto cut off which is why you never know when it is fully charged or not....... Now waiting for after sales services since it has a 1 year warranty will have to see what and how fast is the services after sales...... Will update once any update comes from the manufacturer
",Flybot Boom,2024-12-29
"After approx. 1 month of use i am writing review for this product.1.Built quality is fine2. Sound nice.3. Base is really nice.4. Battery backup is same as above shown in the description.5. 10 m connectivity6. Easy to carry during exercise.7. Noise cancellation works well.Thank you.
",Flybot Boom,2024-12-22
"Worst quality, very bad audio latency ( audio delay)
",Flybot Boom,2024-12-23
"Dislike local chinise
",Flybot Boom,2024-12-24
"Ear piece is too heavy. Not comfort to ear, so it fells down easily. Sound bass is very low. It does  ot meet expectation compare to its price. So i'll not buy again from the same company. I'm surprise how other buyer can give 5*. My big faults is that, I bought this product from viewing, comparing and making decision to buy this. I am very worried about my wrong decision.
",Flybot Boom,2024-12-20
"Sound quality was so good. Noise cancellation is also superb.It gives perimum look, built quality is great.Best branded budget headphone.
",Flybot Boom,2024-12-30
"I received this product very early as per given time and the quality is just fabulous and amazing..never expected this good bass at such a low price and can be easily compared to the big brands .
",Flybot Boom,2024-12-20
"Sound is good butThe cord is small and the product is not balance  because of the switch on one sideit comes off the ears easilyZero comfort level
",Flybot Boom,2024-12-28
"Wonderful experience nice headphonesVoice is good along with handling.
",Flybot Boom,2024-12-22
"Good product in good price
",Flybot Boom,2024-12-24
"First of all the sound clarity of the headphone is just perfect the bass is also good and loud, and the battery backup of the headphone is fine.
",Flybot Boom,2024-12-28
"The connectivity is really really bad. Sound is good, loud and clear but connectivity is the most important feature and that's really bad.
",Flybot Boom,2024-12-22
"It was a very great headset it has a bit of noise Cancellation and the bass is also great i should say it is totally worth for money.
",Flybot Boom,2024-12-28
"The product is just perfect for the price range,better than expected sound quality is decent,bass is up to the mark,material is sturdy and strong
",Flybot Boom,2024-12-23
"I'm using since 2 weeks and i am very much satisfied with this product..decent sound quality..
",Flybot Boom,2024-12-24
"The Bluetooth headphone works awesome.The passive noice cancellation is pretty good. Overall I liked the product .
",Flybot Boom,2024-12-22
"In time delivery with nice packaging box sound quality is good as per the price.
",Flybot Boom,2024-12-25
